5. MAÇ: Meksika 3 - 0 Çekya (24 Haziran 2026)							
🇲🇽 Meksika İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Vinícius Júnior	2 (7', 45+2')	0	0	0	İlk 11	Maç Sonu	90 dk
Matheus Cunha	1 (60')	0	0	0	İlk 11	76'	76 dk
Bruno Guimarães	0	2	0	0	İlk 11	Maç Sonu	90 dk
Rayan	0	1	0	0	İlk 11	82'	82 dk
Danilo	0	0	1 (62')	0	İlk 11	Maç Sonu	90 dk
Fabinho	0	0	1 (82')	0	65'	Sonradan	25 dk
Alisson (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Marquinhos	0	0	0	0	İlk 11	Maç Sonu	90 dk
Gabriel Magalhães	0	0	0	0	İlk 11	Maç Sonu	90 dk
Douglas Santos	0	0	0	0	İlk 11	82'	82 dk
Casemiro	0	0	0	0	İlk 11	66'	66 dk
Lucas Paquetá	0	0	0	0	İlk 11	66'	66 dk
Gabriel Martinelli	0	0	0	0	66'	Sonradan	24 dk
Neymar	0	0	0	0	76'	Sonradan	14 dk
Alex Sandro	0	0	0	0	82'	Sonradan	8 dk
Endrick	0	0	0	0	82'	Sonradan	8 dk
🏴 İskoçya İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Ryan Christie	0	0	1 (89')	0	82'	Sonradan	8 dk
Angus Gunn (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Nathan Patterson	0	0	0	0	İlk 11	82'	82 dk
Scott McKenna	0	0	0	0	İlk 11	Maç Sonu	90 dk
Jack Hendry	0	0	0	0	İlk 11	Maç Sonu	90 dk
Andrew Robertson	0	0	0	0	İlk 11	46'	45 dk
Lewis Ferguson	0	0	0	0	İlk 11	Maç Sonu	90 dk
John McGinn	0	0	0	0	İlk 11	90'	90 dk
Ben Doak	0	0	0	0	İlk 11	82'	82 dk
Scott McTominay	0	0	0	0	İlk 11	Maç Sonu	90 dk
Kenny McLean	0	0	0	0	İlk 11	Maç Sonu	90 dk
Lawrence Shankland	0	0	0	0	İlk 11	90'	90 dk
Kieran Tierney	0	0	0	0	46'	Sonradan	44 dk
Anthony Ralston	0	0	0	0	82'	Sonradan	8 dk
Ché Adams	0	0	0	0	90'	Sonradan	0 dk
Findlay Curtis	0	0	0	0	90'	Sonradan	0 dk
							
6. MAÇ: Fas 4 - 2 Haiti (24 Haziran 2026)							
🇲🇦 Fas İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Achraf Hakimi	1 (39')	1	0	0	İlk 11	Maç Sonu	90 dk
Ismael Saibari	1 (45+1')	0	0	0	İlk 11	Maç Sonu	90 dk
Soufiane Rahimi	1 (78')	0	0	0	70'	Sonradan	20 dk
Gessime Yassine	1 (89')	0	0	0	70'	Sonradan	20 dk
Bilal El Khannouss	0	1	0	0	İlk 11	Maç Sonu	90 dk
Yassine Bounou (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Reda Halhal	0	0	0	0	İlk 11	Maç Sonu	90 dk
Chadi Riad	0	0	0	0	İlk 11	Maç Sonu	90 dk
Abde Saleh-Eddine	0	0	0	0	İlk 11	Maç Sonu	90 dk
Neil El Aynaoui	0	0	0	0	İlk 11	Maç Sonu	90 dk
Sofyan Amrabat	0	0	0	0	İlk 11	Maç Sonu	90 dk
Brahim Díaz	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ayoub El Kaabi	0	0	0	0	İlk 11	Maç Sonu	90 dk
Azzedine Ounahi	0	0	0	0	70'	Sonradan	20 dk
Noussair Mazraoui	0	0	0	0	83'	Sonradan	7 dk
Younes El Mourabet	0	0	0	0	83'	Sonradan	7 dk
Not: Yassine Bounou 10. dakikada şanssız bir şekilde kendi kalesine gol atmıştır.							
🇭🇹 Haiti İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Wilson Isidor	1 (43')	0	0	0	İlk 11	Maç Sonu	90 dk
Don Deedson Louicius	0	1	0	0	67'	Sonradan	23 dk
Carlens Arcus	0	0	1 (80')	0	80'	Sonradan	10 dk
Johny Placide (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Jean-Kévin Duverne	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ricardo Adé	0	0	0	0	İlk 11	Maç Sonu	90 dk
Hannes Delcroix	0	0	0	0	İlk 11	Maç Sonu	90 dk
Mandanlo Guerrier	0	0	0	0	İlk 11	Maç Sonu	90 dk
Danley Jean Jacques	0	0	0	0	İlk 11	Maç Sonu	90 dk
Jean-Ricner Bellegarde	0	0	0	0	İlk 11	Maç Sonu	90 dk
Mbekezeli Mbokazi	0	0	0	0	İlk 11	Maç Sonu	90 dk
Mondy Prunier	0	0	0	0	İlk 11	Maç Sonu	90 dk
Duckens Nazon	0	0	0	0	İlk 11	67'	67 dk
Frantzdy Pierrot	0	0	0	0	83'	Sonradan	7 dk
Mikaël Cantave	0	0	0	0	80'	Sonradan	10 dk
Not: Don Deedson Louicius'un asistinde 10. dakikada atılan ilk gol resmi kayıtlara Fas kalecisi Bounou'nun kendi kalesine attığı gol olarak geçmiştir.							
							
							
5. MAÇ: Türkiye 3 - 2 ABD							
🇹🇷 Türkiye İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Uğurcan Çakır (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Zeki Çelik	0	0	0	0	İlk 11	83'	83 dk
Ozan Kabak	0	0	0	0	İlk 11	Maç Sonu	90 dk
Abdülkerim Bardakcı	0	0	0	0	İlk 11	Maç Sonu	90 dk
Eren Elmalı	0	0	0	0	İlk 11	Maç Sonu	90 dk
Orkun Kökçü	1 (30')	0	0	0	İlk 11	87'	87 dk
Salih Özcan	0	0	0	0	İlk 11	Maç Sonu	90 dk
Oğuz Aydın	0	0	0	0	İlk 11	90'	90 dk
Arda Güler	1 (9')	0	0	0	İlk 11	Maç Sonu	90 dk
Kenan Yıldız	0	0	0	0	İlk 11	83'	83 dk
Barış Alper Yılmaz	0	1	0	0	İlk 11	90'	90 dk
Çağlar Söyüncü	0	0	0	0	83'	Sonradan	7 dk
Can Uzun	0	0	0	0	83'	Sonradan	7 dk
Kaan Ayhan	1 (90+7')	0	0	0	87'	Sonradan	3 dk
Mert Müldür	0	0	0	0	90'	Sonradan	1 dk
İrfan Can Kahveci	0	0	0	0	90'	Sonradan	1 dk
🇺🇸 ABD İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Matt Turner (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Joe Scally	0	0	0	0	İlk 11	76'	76 dk
Mark McKenzie	0	0	0	0	İlk 11	Maç Sonu	90 dk
Miles Robinson	0	0	0	0	İlk 11	Maç Sonu	90 dk
Auston Trusty	1 (2')	0	0	0	İlk 11	Maç Sonu	90 dk
Weston McKennie	0	0	0	0	İlk 11	85'	85 dk
Sebastian Berhalter	1 (48')	1	1 (18')	0	İlk 11	Maç Sonu	90 dk
Giovanni Reyna	0	0	0	0	İlk 11	75'	75 dk
Timothy Weah	0	0	0	0	İlk 11	57'	57 dk
Ricardo Pepi	0	0	0	0	İlk 11	Maç Sonu	90 dk
Brenden Aaronson	0	0	0	0	İlk 11	76'	76 dk
Christian Pulisic	0	0	0	0	57'	Sonradan	33 dk
Sergiño Dest	0	0	0	0	75'	Sonradan	15 dk
Alejandro Zendejas	0	0	0	0	76'	Sonradan	14 dk
Alex Freeman	0	0	0	0	76'	Sonradan	14 dk
Malik Tillman	0	0	0	0	85'	Sonradan	5 dk
							
⚽ 6. MAÇ: Paraguay 0 - 0 Avustralya							
🇵🇾 Paraguay İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Orlando Gill (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Juan José Cáceres	0	0	0	0	İlk 11	Maç Sonu	90 dk
Gustavo Velázquez	0	0	0	0	İlk 11	Maç Sonu	90 dk
Gustavo Gómez	0	0	0	0	İlk 11	Maç Sonu	90 dk
Omar Alderete	0	0	0	0	İlk 11	84'	84 dk
Alexandro Maidana	0	0	0	0	İlk 11	45'	45 dk
Diego Gómez	0	0	1 (76')	0	İlk 11	90'	90 dk
Adrián Andrés Cubas	0	0	0	0	İlk 11	Maç Sonu	90 dk
Matías Galarza	0	0	0	0	İlk 11	90'	90 dk
Julio César Enciso	0	0	0	0	İlk 11	Maç Sonu	90 dk
Gabriel Ávalos	0	0	0	0	İlk 11	67'	67 dk
Maurício	0	0	0	0	45'	Sonradan	45 dk
Álex Arce	0	0	0	0	67'	Sonradan	24 dk
José Canale	0	0	0	0	84'	Sonradan	6 dk
Damián Bobadilla	0	0	0	0	90'	Sonradan	1 dk
Júnior Alonso	0	0	0	0	90'	Sonradan	1 dk
🇦🇺 Avustralya İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Patrick Beach (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Alessandro Circati	0	0	0	0	İlk 11	Maç Sonu	90 dk
Harry Souttar	0	0	0	0	İlk 11	Maç Sonu	90 dk
Lucas Herrington	0	0	0	0	İlk 11	Maç Sonu	90 dk
Aziz Behich	0	0	0	0	İlk 11	Maç Sonu	90 dk
Aiden O'Neill	0	0	0	0	İlk 11	Maç Sonu	90 dk
Jackson Irvine	0	0	1 (45')	0	İlk 11	83'	83 dk
Jordan Bos	0	0	0	0	İlk 11	Maç Sonu	90 dk
Connor Metcalfe	0	0	0	0	İlk 11	Maç Sonu	90 dk
Nestory Irankunda	0	0	0	0	İlk 11	83'	83 dk
Cristian Volpato	0	0	0	0	İlk 11	58'	58 dk
Ajdin Hrustic	0	0	0	0	58'	Sonradan	32 dk
Paul Okon-Engstler	0	0	0	0	83'	Sonradan	7 dk
Tete Yengi	0	0	0	0	83'	Sonradan	7 dk
							
							
							
5. MAÇ: Curaçao 0 - 2 Fildişi Sahili							
🇨🇼 Curaçao İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Eloy Room (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Joshua Brenet	0	0	0	0	İlk 11	89'	89 dk
Juriën Gaari	0	0	0	0	İlk 11	76'	76 dk
Armando Obispo	0	0	0	0	İlk 11	Maç Sonu	90 dk
Sherel Floranus	0	0	0	0	İlk 11	Maç Sonu	90 dk
Deveron Fonville	0	0	0	0	İlk 11	76'	76 dk
Tahith Chong	0	0	0	0	İlk 11	Maç Sonu	90 dk
Leandro Bacuna	0	0	0	0	İlk 11	Maç Sonu	90 dk
Livano Comenencia	0	0	0	0	İlk 11	60'	60 dk
Juninho Bacuna	0	0	1 (75')	0	İlk 11	Maç Sonu	90 dk
Jürgen Locadia	0	0	0	0	İlk 11	89'	89 dk
Jeremy Antonisse	0	0	0	0	60'	Sonradan	30 dk
Gervane Kastaneer	0	0	1 (83')	0	76'	Sonradan	14 dk
Tyrese Noslin	0	0	0	0	76'	Sonradan	14 dk
Shurandy Sambo	0	0	0	0	89'	Sonradan	1 dk
Brandley Kuwas	0	0	0	0	89'	Sonradan	1 dk
🇨🇮 Fildişi Sahili İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Yahia Fofana (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Guéla Doué	0	0	0	0	İlk 11	Maç Sonu	90 dk
Odilon Kossounou	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ousmane Diomande	0	0	0	0	İlk 11	Maç Sonu	90 dk
Christopher Opéri	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ibrahim Sangaré	0	1	0	0	İlk 11	Maç Sonu	90 dk
Franck Kessié	0	0	0	0	İlk 11	76'	76 dk
Amad Diallo	0	0	0	0	İlk 11	45'	45 dk
Yan Diomande	0	1	0	0	İlk 11	66'	66 dk
Nicolas Pépé	2 (7', 64')	0	1 (35')	0	İlk 11	66'	66 dk
Ange-Yoan Bonny	0	0	0	0	İlk 11	66'	66 dk
Christ Inao Oulaï	0	0	0	0	45'	Sonradan	45 dk
Elye Wahi	0	0	0	0	66'	Sonradan	24 dk
Oumar Diakité	0	0	0	0	66'	Sonradan	24 dk
Bazoumana Touré	0	0	0	0	66'	Sonradan	24 dk
Jean Michaël Seri	0	0	0	0	76'	Sonradan	14 dk
							
6. MAÇ: Ekvador 2 - 1 Almanya							
🇪🇨 Ekvador İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Hernán Galíndez (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Joel Ordóñez	0	0	0	0	İlk 11	Maç Sonu	90 dk
Willian Pacho	0	0	0	0	İlk 11	Maç Sonu	90 dk
Piero Hincapié	0	0	1 (43')	0	İlk 11	70'	70 dk
Alan Franco	0	0	1 (50')	0	İlk 11	63'	63 dk
Pedro Vite	0	1	0	0	İlk 11	Maç Sonu	90 dk
Moisés Caicedo	0	0	0	0	İlk 11	Maç Sonu	90 dk
John Yeboah	0	0	0	0	İlk 11	84'	84 dk
Nilson Angulo	1 (9')	0	0	0	İlk 11	84'	84 dk
Gonzalo Plata	1 (77')	0	1 (89')	0	İlk 11	Maç Sonu	90 dk
Enner Valencia	0	0	0	0	İlk 11	63'	63 dk
Ángelo Preciado	0	0	0	0	63'	Sonradan	27 dk
Kevin Rodríguez	0	1	0	0	63'	Sonradan	27 dk
Pervis Estupiñán	0	0	0	0	70'	Sonradan	20 dk
Jordy Caicedo	0	0	0	0	84'	Sonradan	6 dk
Félix Torres	0	0	0	0	84'	Sonradan	6 dk
🇩🇪 Almanya İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Manuel Neuer (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Joshua Kimmich	0	0	0	0	İlk 11	59'	59 dk
Jonathan Tah	0	0	0	0	İlk 11	Maç Sonu	90 dk
Antonio Rüdiger	0	0	0	0	İlk 11	Maç Sonu	90 dk
David Raum	0	0	0	0	İlk 11	Maç Sonu	90 dk
Felix Nmecha	0	0	0	0	İlk 11	64'	64 dk
Aleksandar Pavlović	0	0	1 (44')	0	İlk 11	45'	45 dk
Leroy Sané	1 (2')	0	0	0	İlk 11	Maç Sonu	90 dk
Jamal Musiala	0	0	0	0	İlk 11	Maç Sonu	90 dk
Florian Wirtz	0	1	0	0	İlk 11	72'	72 dk
Kai Havertz	0	0	0	0	İlk 11	59'	59 dk
Angelo Stiller	0	0	0	0	45'	Sonradan	45 dk
Deniz Undav	0	0	0	0	59'	Sonradan	31 dk
Malick Thiaw	0	0	0	0	59'	Sonradan	31 dk
Maximilian Beier	0	0	0	0	64'	Sonradan	26 dk
Pascal Groß	0	0	0	0	72'	Sonradan	18 dk
							
							
5. MAÇ: Japonya 1 - 1 İsveç							
🇯🇵 Japonya İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Zion Suzuki (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Hiroki Itō	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ayumu Seko	0	0	0	0	İlk 11	74'	74 dk
Ko Itakura	0	0	0	0	İlk 11	38'	38 dk
Yukinari Sugawara	0	0	0	0	İlk 11	Maç Sonu	90 dk
Daichi Kamada	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ao Tanaka	0	0	0	0	İlk 11	Maç Sonu	90 dk
Keito Nakamura	0	0	0	0	İlk 11	74'	74 dk
Ritsu Dōan	0	1	0	0	İlk 11	66'	66 dk
Daizen Maeda	1 (56')	0	0	0	İlk 11	Maç Sonu	90 dk
Ayase Ueda	0	0	0	0	İlk 11	65'	65 dk
Shogo Taniguchi	0	0	1 (77')	0	38'	Sonradan	52 dk
Koki Ogawa	0	0	0	0	65'	Sonradan	25 dk
Junya Itō	0	0	0	0	66'	Sonradan	24 dk
Yuto Nagatomo	0	0	0	0	74'	Sonradan	16 dk
Tsuyoshi Watanabe	0	0	0	0	74'	Sonradan	16 dk
🇸🇪 İsveç İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Jacob Widell Zetterström (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Gustaf Lagerbielke	0	0	0	0	İlk 11	Maç Sonu	90 dk
Isak Hien	0	0	1 (32')	0	İlk 11	36'	36 dk
Victor Lindelöf	0	0	0	0	İlk 11	86'	86 dk
Alexander Bernhardsson	0	0	0	0	İlk 11	74'	74 dk
Elliot Stroud	0	0	0	0	İlk 11	74'	74 dk
Yasin Ayari	0	0	0	0	İlk 11	Maç Sonu	90 dk
Gabriel Gudmundsson	0	0	0	0	İlk 11	87'	87 dk
Anthony Elanga	1 (62')	0	0	0	İlk 11	Maç Sonu	90 dk
Viktor Gyökeres	0	1	1 (85')	0	İlk 11	Maç Sonu	90 dk
Alexander Isak	0	0	0	0	İlk 11	Maç Sonu	90 dk
Lucas Bergvall	0	0	0	0	36'	Sonradan	54 dk
Daniel Svensson	0	0	0	0	74'	Sonradan	16 dk
Ken Sema	0	0	0	0	74'	Sonradan	16 dk
Carl Starfelt	0	0	0	0	86'	Sonradan	4 dk
Benjamin Nygren	0	0	0	0	87'	Sonradan	3 dk
							
⚽ 6. MAÇ: Tunus 1 - 3 Hollanda							
