1. MAÇ: Meksika 2 - 0 Güney Afrika (11 Haziran 2026)
🇲🇽 Meksika İstatistikleri
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Lee Han-beom	0	0	0	0	İlk 11	Maç Sonu	90 dk
Seol Young-woo	0	0	0	0	İlk 11	Maç Sonu	90 dk
Paik Seung-ho	0	0	0	0	İlk 11	84'	84 dk
Lee Jae-sung	0	0	0	0	İlk 11	63'	63 dk
Lee Tae-seok	0	0	0	0	İlk 11	69'	69 dk
Hwang Hee-chan	0	0	0	0	63'	Sonradan	27 dk
Eom Ji-sung	0	0	0	0	69'	Sonradan	21 dk
Kim Jin-Kyu	0	0	0	0	84'	Sonradan	6 dk
Park Jin-seob	0	0	0	0	84'	Sonradan	6 dk
🇨🇿 Çekya İstatistikleri
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Ladislav Krejčí	1 (59')	0	0	0	İlk 11	Maç Sonu	90 dk
Lukáš Provod	0	1	0	0	İlk 11	64'	64 dk
Matěj Kovář (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Štěpán Chaloupek	0	0	0	0	İlk 11	Maç Sonu	90 dk
Robin Hranáč	0	0	0	0	İlk 11	Maç Sonu	90 dk
Vladimír Coufal	0	0	0	0	İlk 11	Maç Sonu	90 dk
Tomáš Souček	0	0	0	0	İlk 11	Maç Sonu	90 dk
Alexandr Sojka	0	0	0	0	İlk 11	85'	85 dk
Jaroslav Zelený	0	0	0	0	İlk 11	Maç Sonu	90 dk
Patrik Schick	0	0	0	0	İlk 11	64'	64 dk
Pavel Šulc	0	0	0	0	İlk 11	64'	64 dk
Adam Hložek	0	0	0	0	64'	Sonradan	26 dk
Tomáš Chorý	0	0	0	0	64'	Sonradan	26 dk
Michal Sadílek	0	0	0	0	64'	Sonradan	26 dk
Mojmír Chytil	0	0	0	0	85'	Sonradan	5 dk


1. MAÇ: Kanada 1 - 1 Bosna-Hersek (12 Haziran 2026)
🇨🇦 Kanada İstatistikleri
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Jonathan David	1 (21')	0	0	0	İlk 11	Maç Sonu	90 dk
Alphonso Davies	0	1	1 (64')	0	İlk 11	Maç Sonu	90 dk
Dayne St. Clair (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Alistair Johnston	0	0	0	0	İlk 11	Maç Sonu	90 dk
Kamal Miller	0	0	0	0	İlk 11	Maç Sonu	90 dk
Moïse Bombito	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ismaël Koné	0	0	0	0	İlk 11	Maç Sonu	90 dk
Stephen Eustáquio	0	0	0	0	İlk 11	75'	75 dk
Cyle Larin	0	0	0	0	İlk 11	60'	60 dk
Tajon Buchanan	0	0	0	0	İlk 11	75'	75 dk
Jacob Shaffelburg	0	0	0	0	60'	Sonradan	30 dk
Nathan Saliba	0	0	0	0	75'	Sonradan	15 dk
Theo Bair	0	0	0	0	75'	Sonradan	15 dk
🇧🇦 Bosna-Hersek İstatistikleri
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Ermin Mahmić	1 (73')	0	0	0	İlk 11	Maç Sonu	90 dk
Haris Hajradinović	0	1	0	0	İlk 11	68'	68 dk
Benjamin Tahirović	0	0	1 (40')	0	İlk 11	82'	82 dk
Nikola Vasilj (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Sead Kolašinac	0	0	0	0	İlk 11	Maç Sonu	90 dk
Anel Ahmedhodžić	0	0	0	0	İlk 11	Maç Sonu	90 dk
Dennis Hadžikadunić	0	0	0	0	İlk 11	Maç Sonu	90 dk
Jusuf Gazibegović	0	0	0	0	İlk 11	Maç Sonu	90 dk
Amar Dedić	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ermedin Demirović	0	0	0	0	İlk 11	68'	68 dk
Denis Huseinbašić	0	0	0	0	68'	Sonradan	22 dk
Jovo Lukić	0	0	0	0	68'	Sonradan	22 dk
Armin Gigović	0	0	0	0	82'	Sonradan	8 dk

2. MAÇ: İsviçre 1 - 1 Katar (13 Haziran 2026)
🇨🇭 İsviçre İstatistikleri
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Breel Embolo	1 (17' P)	0	0	0	İlk 11	74'	74 dk
Denis Zakaria	0	0	1 (58')	0	İlk 11	Maç Sonu	90 dk
Yann Sommer (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Manuel Akanji	0	0	0	0	İlk 11	Maç Sonu	90 dk
Nico Elvedi	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ricardo Rodríguez	0	0	0	0	İlk 11	81'	81 dk
Silvan Widmer	0	0	0	0	İlk 11	Maç Sonu	90 dk
Granit Xhaka	0	0	0	0	İlk 11	Maç Sonu	90 dk
Remo Freuler	0	0	0	0	İlk 11	63'	63 dk
Xherdan Shaqiri	0	0	0	0	İlk 11	63'	63 dk
Ruben Vargas	0	0	0	0	İlk 11	Maç Sonu	90 dk
Michel Aebischer	0	0	0	0	63'	Sonradan	27 dk
Zeki Amdouni	0	0	0	0	63'	Sonradan	27 dk
Noah Okafor	0	0	0	0	74'	Sonradan	16 dk
Cedric Zesiger	0	0	0	0	81'	Sonradan	9 dk
Not: Breel Embolo 90+4'te şanssız bir şekilde kendi kalesine gol atmıştır.
QA Katar İstatistikleri
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Meshaal Barsham (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Tarek Salman	0	0	0	0	İlk 11	Maç Sonu	90 dk
Boualem Khoukhi	0	0	0	0	İlk 11	Maç Sonu	90 dk
Lucas Mendes	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ró-Ró	0	0	0	0	İlk 11	79'	79 dk
Homam Ahmed	0	0	0	0	İlk 11	Maç Sonu	90 dk
Jassem Gaber	0	0	1 (34')	0	İlk 11	70'	70 dk
Ahmed Fathy	0	0	0	0	İlk 11	Maç Sonu	90 dk
Mohammed Waad	0	0	0	0	İlk 11	70'	70 dk
Akram Afif	0	0	0	0	İlk 11	Maç Sonu	90 dk
Almoez Ali	0	0	1 (88')	0	İlk 11	Maç Sonu	90 dk
Ali Asad	0	0	0	0	70'	Sonradan	20 dk
Karim Boudiaf	0	0	0	0	70'	Sonradan	20 dk
Ismaeel Mohammad	0	0	0	0	79'	Sonradan	11 dk
Yousef Hassan (GK)	0	0	1 (90+2')	0	Yedek Kulübesinde itirazdan kart gördü.		


1. MAÇ: Brezilya 1 - 1 Fas (14 Haziran 2026)
🇧🇷 Brezilya İstatistikleri
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Vinícius Júnior	1 (29')	0	0	0	İlk 11	Maç Sonu	90 dk
Bruno Guimarães	0	1	1 (41')	0	İlk 11	75'	75 dk
Alisson (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Danilo	0	0	0	0	İlk 11	Maç Sonu	90 dk
Marquinhos	0	0	0	0	İlk 11	Maç Sonu	90 dk
Gabriel Magalhães	0	0	0	0	İlk 11	Maç Sonu	90 dk
Alex Sandro	0	0	0	0	İlk 11	68'	68 dk
Casemiro	0	0	0	0	İlk 11	Maç Sonu	90 dk
Lucas Paquetá	0	0	0	0	İlk 11	62'	62 dk
Rodrygo	0	0	0	0	İlk 11	75'	75 dk
Endrick	0	0	0	0	İlk 11	62'	62 dk
Raphinha	0	0	0	0	62'	Sonradan	28 dk
Gabriel Martinelli	0	0	0	0	62'	Sonradan	28 dk
Leo Pereira	0	0	0	0	68'	Sonradan	22 dk
Ederson (Atalanta)	0	0	0	0	75'	Sonradan	15 dk
Matheus Cunha	0	0	0	0	75'	Sonradan	15 dk
🇲🇦 Fas İstatistikleri
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Youssef En-Nesyri	1 (55')	0	0	0	İlk 11	80'	80 dk
Achraf Hakimi	0	1	0	0	İlk 11	Maç Sonu	90 dk
Sofyan Amrabat	0	0	1 (72')	0	İlk 11	Maç Sonu	90 dk
Yassine Bounou (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Nayef Aguerd	0	0	0	0	İlk 11	Maç Sonu	90 dk
Romain Saïss	0	0	0	0	İlk 11	Maç Sonu	90 dk
Noussair Mazraoui	0	0	0	0	İlk 11	Maç Sonu	90 dk
Azzedine Ounahi	0	0	0	0	İlk 11	83'	83 dk
Hakim Ziyech	0	0	0	0	İlk 11	67'	67 dk
Amine Harit	0	0	0	0	İlk 11	67'	67 dk
Abde Ezzalzouli	0	0	0	0	İlk 11	Maç Sonu	90 dk
Bilal El Khannouss	0	0	0	0	67'	Sonradan	23 dk
Soufiane Rahimi	0	0	0	0	67'	Sonradan	23 dk
Tarik Tissoudali	0	0	0	0	80'	Sonradan	10 dk
Ismael Saibari	0	0	0	0	83'	Sonradan	7 dk

2. MAÇ: İskoçya 1 - 0 Haiti (14 Haziran 2026)
🏴 İskoçya İstatistikleri
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
John McGinn	1 (44')	0	0	0	İlk 11	Maç Sonu	90 dk
Andrew Robertson	0	1	0	0	İlk 11	Maç Sonu	90 dk
Angus Gunn (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ryan Porteous	0	0	1 (61')	0	İlk 11	Maç Sonu	90 dk
Jack Hendry	0	0	0	0	İlk 11	Maç Sonu	90 dk
Kieran Tierney	0	0	0	0	İlk 11	78'	78 dk
Anthony Ralston	0	0	0	0	İlk 11	Maç Sonu	90 dk
Billy Gilmour	0	0	0	0	İlk 11	69'	69 dk
Callum McGregor	0	0	0	0	İlk 11	Maç Sonu	90 dk
Scott McTominay	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ché Adams	0	0	0	0	İlk 11	69'	69 dk
Lyndon Dykes	0	0	0	0	69'	Sonradan	21 dk
Kenny McLean	0	0	0	0	69'	Sonradan	21 dk
Scott McKenna	0	0	0	0	78'	Sonradan	12 dk
🇭🇹 Haiti İstatistikleri
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Carlens Arcus	0	0	1 (32')	0	İlk 11	Maç Sonu	90 dk
Johny Placide (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ricardo Adé	0	0	0	0	İlk 11	Maç Sonu	90 dk
Garissone Innocent	0	0	0	0	İlk 11	Maç Sonu	90 dk
Alex Christian	0	0	0	0	İlk 11	82'	82 dk
Bryan Alceus	0	0	0	0	İlk 11	Maç Sonu	90 dk
Leverton Pierre	0	0	0	0	İlk 11	71'	71 dk
Duckens Nazon	0	0	0	0	İlk 11	60'	60 dk
Frantzdy Pierrot	0	0	0	0	İlk 11	Maç Sonu	90 dk
Derrick Etienne	0	0	0	0	İlk 11	60'	60 dk
Louicius Don Deedson	0	0	0	0	İlk 11	71'	71 dk
Mondy Prunier	0	0	0	0	60'	Sonradan	30 dk
Fafà Picault	0	0	0	0	60'	Sonradan	30 dk
Danley Jean Jacques	0	0	0	0	71'	Sonradan	19 dk
Carnejy Antoine	0	0	0	0	71'	Sonradan	19 dk
Wilde-Donald Guerrier	0	0	0	0	82'	Sonradan	8 dk


1. MAÇ: Amerika Birleşik Devletleri 4 - 1 Paraguay (12 Haziran 2026)
🇺🇸 Amerika Birleşik Devletleri İstatistikleri [1]
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Christian Pulisic	1 (19')	1	0	0	İlk 11	Maç Sonu	90 dk
Folarin Balogun	1 (34')	0	0	0	İlk 11	71'	71 dk
Timothy Weah	1 (62')	0	0	0	İlk 11	79'	79 dk
Brenden Aaronson	1 (85')	0	0	0	71'	Sonradan	19 dk
Weston McKennie	0	1	1 (44')	0	İlk 11	Maç Sonu	90 dk
Antonee Robinson	0	1	0	0	İlk 11	Maç Sonu	90 dk
Matt Turner (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Chris Richards	0	0	0	0	İlk 11	Maç Sonu	90 dk
Tim Ream	0	0	0	0	İlk 11	82'	82 dk
Joe Scally	0	0	0	0	İlk 11	Maç Sonu	90 dk
Tyler Adams	0	0	0	0	İlk 11	65'	65 dk
Yunis Musah	0	0	0	0	65'	Sonradan	25 dk
Ricardo Pepi	0	0	0	0	71'	Sonradan	19 dk
Malik Tillman	0	0	0	0	79'	Sonradan	11 dk
Cameron Carter-Vickers	0	0	0	0	82'	Sonradan	8 dk
🇵🇾 Paraguay İstatistikleri [1]
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Julio Enciso	1 (45')	0	0	0	İlk 11	Maç Sonu	90 dk
Miguel Almirón	0	1	1 (31')	0	İlk 11	76'	76 dk
Omar Alderete	0	0	1 (58')	0	İlk 11	Maç Sonu	90 dk
Carlos Coronel (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Gustavo Gómez	0	0	0	0	İlk 11	Maç Sonu	90 dk
Fabián Balbuena	0	0	0	0	İlk 11	60'	60 dk
Matías Espinoza	0	0	0	0	İlk 11	Maç Sonu	90 dk
Andrés Cubas	0	0	0	0	İlk 11	Maç Sonu	90 dk
Mathías Villasanti	0	0	0	0	İlk 11	76'	76 dk
Alejandro Romero G.	0	0	0	0	İlk 11	60'	60 dk
Adam Bareiro	0	0	0	0	İlk 11	68'	68 dk
Junior Alonso	0	0	0	0	60'	Sonradan	30 dk
Kaku	0	0	0	0	60'	Sonradan	30 dk
Alex Arce	0	0	0	0	68'	Sonradan	22 dk
Ramon Sosa	0	0	0	0	76'	Sonradan	14 dk
Hernesto Caballero	0	0	0	0	76'	Sonradan	14 dk

2. MAÇ: Avustralya 2 - 0 Türkiye (13 Haziran 2026)
🇦🇺 Avustralya İstatistikleri [1]
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Mitchell Duke	1 (14')	0	0	0	İlk 11	73'	73 dk
Nestory Irankunda	1 (78')	0	0	0	62'	Sonradan	28 dk
Craig Goodwin	0	1	0	0	İlk 11	73'	73 dk
Jackson Irvine	0	1	1 (42')	0	İlk 11	Maç Sonu	90 dk
Harry Souttar	0	0	1 (55')	0	İlk 11	Maç Sonu	90 dk
Mathew Ryan (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Kye Rowles	0	0	0	0	İlk 11	Maç Sonu	90 dk
Aziz Behich	0	0	0	0	İlk 11	Maç Sonu	90 dk
Gethin Jones	0	0	0	0	İlk 11	81'	81 dk
Keanu Baccus	0	0	0	0	İlk 11	62'	62 dk
Connor Metcalfe	0	0	0	0	İlk 11	Maç Sonu	90 dk
Martin Boyle	0	0	0	0	İlk 11	62'	62 dk
Aiden O'Neill	0	0	0	0	62'	Sonradan	28 dk
Kusini Yengi	0	0	0	0	73'	Sonradan	17 dk
Riley McGree	0	0	0	0	73'	Sonradan	17 dk
Lewis Miller	0	0	0	0	81'	Sonradan	9 dk
🇹🇷 Türkiye İstatistikleri [1]
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Hakan Çalhanoğlu	0	0	1 (29')	0	İlk 11	Maç Sonu	90 dk
Uğurcan Çakır (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Merih Demiral	0	0	0	0	İlk 11	Maç Sonu	90 dk
Abdülkerim Bardakcı	0	0	0	0	İlk 11	85'	85 dk
Ferdi Kadıoğlu	0	0	0	0	İlk 11	Maç Sonu	90 dk
Zeki Çelik	0	0	0	0	İlk 11	70'	70 dk
Salih Özcan	0	0	0	0	İlk 11	58'	58 dk
Orkun Kökçü	0	0	0	0	İlk 11	Maç Sonu	90 dk
Arda Güler	0	0	0	0	İlk 11	70'	70 dk
Kenan Yıldız	0	0	0	0	İlk 11	Maç Sonu	90 dk
Barış Alper Yılmaz	0	0	0	0	İlk 11	58'	58 dk
İsmail Yüksek	0	0	0	0	58'	Sonradan	32 dk
Semih Kılıçsoy	0	0	0	0	58'	Sonradan	32 dk
Mert Müldür	0	0	0	0	70'	Sonradan	20 dk
Kerem Aktürkoğlu	0	0	0	0	70'	Sonradan	20 dk
Ahmetcan Kaplan	0	0	0	0	85'	Sonradan	5 dk


1. MAÇ: Almanya 4 - 0 Curaçao (14 Haziran 2026)
🇩🇪 Almanya İstatistikleri
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Kai Havertz	2 (28', 56')	1	0	0	İlk 11	Maç Sonu	90 dk
Florian Wirtz	1 (14')	1	0	0	İlk 11	Maç Sonu	90 dk
Jamal Musiala	1 (42')	0	0	0	İlk 11	64'	64 dk
Leroy Sané	0	2	0	0	İlk 11	72'	72 dk
Marc-André ter Stegen (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Nico Schlotterbeck	0	0	0	0	İlk 11	Maç Sonu	90 dk
Aleksandar Pavlović	0	0	0	0	İlk 11	Maç Sonu	90 dk
Joshua Kimmich	0	0	0	0	İlk 11	83'	83 dk
Jonathan Tah	0	0	0	0	İlk 11	72'	72 dk
Nathaniel Brown	0	0	0	0	İlk 11	72'	72 dk
Felix Nmecha	0	0	0	0	İlk 11	72'	72 dk
Deniz Undav	0	0	0	0	64'	Sonradan	26 dk
David Raum	0	0	0	0	72'	Sonradan	18 dk
Antonio Rüdiger	0	0	0	0	72'	Sonradan	18 dk
Leon Goretzka	0	0	0	0	72'	Sonradan	18 dk
Waldemar Anton	0	0	0	0	83'	Sonradan	7 dk
🇨🇼 Curaçao İstatistikleri
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Leandro Bacuna	0	0	1 (34')	0	İlk 11	Maç Sonu	90 dk
Eloy Room (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Sherel Floranus	0	0	0	0	İlk 11	Maç Sonu	90 dk
Riechedly Bazoer	0	0	0	0	İlk 11	Maç Sonu	90 dk
Armando Obispo	0	0	0	0	İlk 11	Maç Sonu	90 dk
Dylan Fonville	0	0	0	0	İlk 11	Maç Sonu	90 dk
Livano Comenencia	0	0	0	0	İlk 11	Maç Sonu	90 dk
Juninho Bacuna	0	0	0	0	İlk 11	Maç Sonu	90 dk
Tahith Chong	0	0	0	0	İlk 11	82'	82 dk
Jürgen Locadia	0	0	0	0	İlk 11	65'	65 dk
Sontje Hensen	0	0	0	0	İlk 11	46'	46 dk
Jearl Margaritha	0	0	0	0	46'	Sonradan	44 dk
Jeremy Antonisse	0	0	0	0	65'	Sonradan	25 dk
Gervane Kastaneer	0	0	0	0	82'	Sonradan	8 dk

2. MAÇ: Fildişi Sahili 1 - 0 Ekvador (14 Haziran 2026)
🇨🇮 Fildişi Sahili İstatistikleri
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Sébastien Haller	1 (61')	0	0	0	İlk 11	78'	78 dk
Franck Kessié	0	1	1 (19')	0	İlk 11	Maç Sonu	90 dk
Singo Wilfried	0	0	1 (45')	0	İlk 11	Maç Sonu	90 dk
Yahia Fofana (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Evan Ndicka	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ghislain Konan	0	0	0	0	İlk 11	Maç Sonu	90 dk
Seko Fofana	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ousmane Diomande	0	0	0	0	İlk 11	83'	83 dk
Ibrahim Sangaré	0	0	0	0	İlk 11	67'	67 dk
Simon Adingra	0	0	0	0	İlk 11	78'	78 dk
Oumar Diakité	0	0	0	0	İlk 11	67'	67 dk
Jean Michaël Seri	0	0	0	0	67'	Sonradan	23 dk
Jeremie Boga	0	0	0	0	67'	Sonradan	23 dk
Christian Kouamé	0	0	0	0	78'	Sonradan	12 dk
Jonathan Bamba	0	0	0	0	78'	Sonradan	12 dk
Willy Boly	0	0	0	0	83'	Sonradan	7 dk
🇪🇨 Ekvador İstatistikleri
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Enner Valencia	0	0	1 (37')	0	İlk 11	74'	74 dk
Piero Hincapié	0	0	1 (72')	0	İlk 11	Maç Sonu	90 dk
Hernán Galíndez (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Félix Torres	0	0	0	0	İlk 11	Maç Sonu	90 dk
Willian Pacho	0	0	0	0	İlk 11	Maç Sonu	90 dk
Angelo Preciado	0	0	0	0	İlk 11	Maç Sonu	90 dk
Moises Caicedo	0	0	0	0	İlk 11	Maç Sonu	90 dk
Pervis Estupiñán	0	0	0	0	İlk 11	82'	82 dk
Alan Franco	0	0	0	0	İlk 11	63'	63 dk
Kendry Páez	0	0	0	0	İlk 11	63'	63 dk
Gonzalo Plata	0	0	0	0	İlk 11	Maç Sonu	90 dk
Carlos Gruezo	0	0	0	0	63'	Sonradan	27 dk
Jeremy Sarmiento	0	0	0	0	63'	Sonradan	27 dk
Kevin Rodríguez	0	0	0	0	74'	Sonradan	16 dk
John Yeboah	0	0	0	0	82'	Sonradan	8 dk


1. MAÇ: Hollanda 2 - 2 Japonya (14 Haziran 2026)
🇳🇱 Hollanda İstatistikleri [1, 2]
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Virgil van Dijk	1 (50')	0	0	0	İlk 11	Maç Sonu	90 dk
Crysencio Summerville	1 (64')	0	0	0	İlk 11	Maç Sonu	90 dk
Ryan Gravenberch	0	1	0	0	İlk 11	Maç Sonu	90 dk
Bart Verbruggen (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Denzel Dumfries	0	0	0	0	İlk 11	Maç Sonu	90 dk
Lutsharel Geertruida	0	0	0	0	İlk 11	Maç Sonu	90 dk
Nathan Aké	0	0	0	0	İlk 11	Maç Sonu	90 dk
Micky van de Ven	0	0	0	0	İlk 11	Maç Sonu	90 dk
Tijjani Reijnders	0	0	0	0	İlk 11	75'	75 dk
Cody Gakpo	0	0	0	0	İlk 11	Maç Sonu	90 dk
Brian Brobbey	0	0	0	0	İlk 11	68'	68 dk
Jeremie Frimpong	0	0	0	0	68'	Sonradan	22 dk
Joey Veerman	0	0	0	0	75'	Sonradan	15 dk
🇯🇵 Japonya İstatistikleri [1, 2]
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Keito Nakamura	1 (57')	0	0	0	İlk 11	73'	73 dk
Daichi Kamada	1 (88')	0	0	0	İlk 11	Maç Sonu	90 dk
Takefusa Kubo	0	1	0	0	İlk 11	Maç Sonu	90 dk
Zion Suzuki (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Yukinari Sugawara	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ko Itakura	0	0	0	0	İlk 11	Maç Sonu	90 dk
Shogo Taniguchi	0	0	0	0	İlk 11	Maç Sonu	90 dk
Hiroki Ito	0	0	0	0	İlk 11	Maç Sonu	90 dk
Wataru Endo	0	0	0	0	İlk 11	Maç Sonu	90 dk
Hidemasa Morita	0	0	0	0	İlk 11	65'	65 dk
Ritsu Doan	0	0	0	0	İlk 11	65'	65 dk
Ao Tanaka	0	0	0	0	65'	Sonradan	25 dk
Takumi Minamino	0	0	0	0	65'	Sonradan	25 dk
Koki Ogawa	0	0	0	0	73'	Sonradan	17 dk

2. MAÇ: İsveç 5 - 1 Tunus (15 Haziran 2026)
🇸🇪 İsveç İstatistikleri [1, 2, 3]
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Yasin Ayari	2 (7', 90+6')	0	0	0	İlk 11	Maç Sonu	90 dk
Alexander Isak	1 (30')	2	0	0	İlk 11	90'	90 dk
Viktor Gyökeres	1 (59')	1	0	0	İlk 11	Maç Sonu	90 dk
Mattias Svanberg	1 (84')	0	0	0	84'	Sonradan	6 dk
