3. MAÇ: Çekya 1 - 1 Güney Afrika (18 Haziran 2026)							
🇨🇿 Çekya İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Karim Boudiaf	0	0	0	0	68'	Sonradan	22 dk
Mahdi Salem	0	0	0	0	78'	Sonradan	12 dk
							
							
3. MAÇ: Fas 1 - 0 İskoçya (19 Haziran 2026)							
🇲🇦 Fas İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Ismael Saibari	1 (2')	0	0	0	İlk 11	68'	68 dk
Achraf Hakimi	0	1	0	0	İlk 11	Maç Sonu	90 dk
Yassine Bounou (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Nayef Aguerd	0	0	1 (43')	0	İlk 11	Maç Sonu	90 dk
Romain Saïss	0	0	0	0	İlk 11	Maç Sonu	90 dk
Yahia Attiyat Allah	0	0	0	0	İlk 11	75'	75 dk
Sofyan Amrabat	0	0	1 (61')	0	İlk 11	Maç Sonu	90 dk
Azzedine Ounahi	0	0	0	0	İlk 11	80'	80 dk
Hakim Ziyech	0	0	0	0	İlk 11	68'	68 dk
Amine Harit	0	0	0	0	İlk 11	Maç Sonu	90 dk
Youssef En-Nesyri	0	0	0	0	İlk 11	75'	75 dk
Abde Ezzalzouli	0	0	0	0	68'	Sonradan	22 dk
Bilal El Khannouss	0	0	0	0	68'	Sonradan	22 dk
Ayoub El Kaabi	0	0	0	0	75'	Sonradan	15 dk
Noussair Mazraoui	0	0	0	0	75'	Sonradan	15 dk
Tarikh Tissoudali	0	0	0	0	80'	Sonradan	10 dk
🏴 İskoçya İstatistikleri [1]							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Scott McTominay	0	0	1 (55')	0	İlk 11	Maç Sonu	90 dk
Angus Gunn (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Jack Hendry	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ryan Porteous	0	0	1 (18')	0	İlk 11	70'	70 dk
Scott McKenna	0	0	0	0	İlk 11	Maç Sonu	90 dk
Anthony Ralston	0	0	0	0	İlk 11	62'	62 dk
Andrew Robertson	0	0	0	0	İlk 11	Maç Sonu	90 dk
Billy Gilmour	0	0	0	0	İlk 11	Maç Sonu	90 dk
John McGinn	0	0	0	0	İlk 11	81'	81 dk
Ryan Christie	0	0	0	0	İlk 11	62'	62 dk
Ché Adams	0	0	0	0	İlk 11	70'	70 dk
Lewis Ferguson	0	0	0	0	62'	Sonradan	28 dk
Ben Doak	0	0	0	0	62'	Sonradan	28 dk
Lyndon Dykes	0	0	0	0	70'	Sonradan	20 dk
Grant Hanley	0	0	0	0	70'	Sonradan	20 dk
Lawrence Shankland	0	0	0	0	81'	Sonradan	9 dk
							
4. MAÇ: Brezilya 3 - 0 Haiti (19 Haziran 2026)							
🇧🇷 Brezilya İstatistikleri [1, 2]							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Vinícius Júnior	2 (39', 44')	0	0	0	İlk 11	78'	78 dk
Matheus Cunha	1 (23')	1	0	0	İlk 11	Maç Sonu	90 dk
Raphinha	0	1	0	0	İlk 11	35'	35 dk
Lucas Paquetá	0	1	1 (61')	0	İlk 11	70'	70 dk
Alisson (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Danilo	0	0	0	0	İlk 11	Maç Sonu	90 dk
Marquinhos	0	0	0	0	İlk 11	82'	82 dk
Gabriel Magalhães	0	0	0	0	İlk 11	Maç Sonu	90 dk
Guilherme Arana	0	0	0	0	İlk 11	Maç Sonu	90 dk
Bruno Guimarães	0	0	0	0	İlk 11	Maç Sonu	90 dk
João Gomes	0	0	0	0	İlk 11	70'	70 dk
Rodrygo	0	0	0	0	35'	Sonradan	55 dk
Douglas Luiz	0	0	0	0	70'	Sonradan	20 dk
Andreas Pereira	0	0	0	0	70'	Sonradan	20 dk
Endrick	0	0	0	0	78'	Sonradan	12 dk
Bremer	0	0	0	0	82'	Sonradan	8 dk
🇭🇹 Haiti İstatistikleri [1]							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Johny Placide (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Carlens Arcus	0	0	1 (12')	0	İlk 11	Maç Sonu	90 dk
Ricardo Adé	0	0	0	0	İlk 11	Maç Sonu	90 dk
Jean-Kévin Duverne	0	0	0	0	İlk 11	Maç Sonu	90 dk
Alex Christian	0	0	0	0	İlk 11	76'	76 dk
Carl Sainté	0	0	1 (51')	0	İlk 11	Maç Sonu	90 dk
Danley Jean Jacques	0	0	0	0	İlk 11	80'	80 dk
Wilde-Donald Guerrier	0	0	0	0	İlk 11	63'	63 dk
Derrick Etienne Jr.	0	0	0	0	İlk 11	63'	63 dk
Duckens Nazon	0	0	0	0	İlk 11	76'	76 dk
Frantzdy Pierrot	0	0	0	0	İlk 11	Maç Sonu	90 dk
Fafà Picault	0	0	0	0	63'	Sonradan	27 dk
Louicius Don Deedson	0	0	0	0	63'	Sonradan	27 dk
Mondanlo Guerrier	0	0	0	0	76'	Sonradan	14 dk
Carnejy Antoine	0	0	0	0	76'	Sonradan	14 dk
Bryan Alceus	0	0	0	0	80'	Sonradan	10 dk
							
							
3. MAÇ: Amerika Birleşik Devletleri 2 - 0 Avustralya (17 Haziran 2026)							
🇺🇸 Amerika Birleşik Devletleri İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Christian Pulisic	1 (31')	0	0	0	İlk 11	Maç Sonu	90 dk
Folarin Balogun	1 (68')	0	0	0	İlk 11	79'	79 dk
Weston McKennie	0	1	0	0	İlk 11	Maç Sonu	90 dk
Timothy Weah	0	1	0	0	İlk 11	73'	73 dk
Tyler Adams	0	0	1 (42')	0	İlk 11	65'	65 dk
Matt Turner (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Joe Scally	0	0	0	0	İlk 11	Maç Sonu	90 dk
Chris Richards	0	0	0	0	İlk 11	Maç Sonu	90 dk
Tim Ream	0	0	0	0	İlk 11	Maç Sonu	90 dk
Antonee Robinson	0	0	0	0	İlk 11	Maç Sonu	90 dk
Yunis Musah	0	0	0	0	65'	Sonradan	25 dk
Brenden Aaronson	0	0	0	0	73'	Sonradan	17 dk
Ricardo Pepi	0	0	0	0	79'	Sonradan	11 dk
🇦🇺 Avustralya İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Jackson Irvine	0	0	1 (22')	0	İlk 11	Maç Sonu	90 dk
Kye Rowles	0	0	1 (81')	0	İlk 11	Maç Sonu	90 dk
Mathew Ryan (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Gethin Jones	0	0	0	0	İlk 11	Maç Sonu	90 dk
Harry Souttar	0	0	0	0	İlk 11	Maç Sonu	90 dk
Aziz Behich	0	0	0	0	İlk 11	Maç Sonu	90 dk
Keanu Baccus	0	0	0	0	İlk 11	58'	58 dk
Connor Metcalfe	0	0	0	0	İlk 11	Maç Sonu	90 dk
Martin Boyle	0	0	0	0	İlk 11	62'	62 dk
Craig Goodwin	0	0	0	0	İlk 11	75'	75 dk
Mitchell Duke	0	0	0	0	İlk 11	62'	62 dk
Aiden O'Neill	0	0	0	0	58'	Sonradan	32 dk
Riley McGree	0	0	0	0	62'	Sonradan	28 dk
Nestory Irankunda	0	0	0	0	62'	Sonradan	28 dk
Kusini Yengi	0	0	0	0	75'	Sonradan	15 dk
							
4. MAÇ: Türkiye 0 - 1 Paraguay (18 Haziran 2026)							
🇹🇷 Türkiye İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Hakan Çalhanoğlu	0	0	1 (54')	0	İlk 11	Maç Sonu	90 dk
Abdülkerim Bardakcı	0	0	1 (79')	0	İlk 11	Maç Sonu	90 dk
Mert Günok (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Zeki Çelik	0	0	0	0	İlk 11	64'	64 dk
Merih Demiral	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ferdi Kadıoğlu	0	0	0	0	İlk 11	Maç Sonu	90 dk
Kaan Ayhan	0	0	0	0	İlk 11	75'	75 dk
Orkun Kökçü	0	0	0	0	İlk 11	64'	64 dk
Arda Güler	0	0	0	0	İlk 11	82'	82 dk
Kenan Yıldız	0	0	0	0	İlk 11	75'	75 dk
Barış Alper Yılmaz	0	0	0	0	İlk 11	Maç Sonu	90 dk
İsmail Yüksek	0	0	0	0	64'	Sonradan	26 dk
Mert Müldür	0	0	0	0	64'	Sonradan	26 dk
Kerem Aktürkoğlu	0	0	0	0	75'	Sonradan	15 dk
Salih Özcan	0	0	0	0	75'	Sonradan	15 dk
Semih Kılıçsoy	0	0	0	0	82'	Sonradan	8 dk
🇵🇾 Paraguay İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Adam Bareiro	1 (61')	0	0	0	İlk 11	72'	72 dk
Julio Enciso	0	1	0	0	İlk 11	Maç Sonu	90 dk
Andrés Cubas	0	0	1 (19')	0	İlk 11	Maç Sonu	90 dk
Gustavo Gómez	0	0	1 (73')	0	İlk 11	Maç Sonu	90 dk
Carlos Coronel (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Robert Rojas	0	0	0	0	İlk 11	Maç Sonu	90 dk
Fabián Balbuena	0	0	0	0	İlk 11	Maç Sonu	90 dk
Junior Alonso	0	0	0	0	İlk 11	81'	81 dk
Mathías Villasanti	0	0	0	0	İlk 11	Maç Sonu	90 dk
Diego Gómez	0	0	0	0	İlk 11	60'	60 dk
Miguel Almirón	0	0	0	0	İlk 11	81'	81 dk
Kaku	0	0	0	0	60'	Sonradan	30 dk
Alex Arce	0	0	0	0	72'	Sonradan	18 dk
Ramón Sosa	0	0	0	0	81'	Sonradan	9 dk
Matías Espinoza	0	0	0	0	81'	Sonradan	9 dk
							
							
3. MAÇ: Almanya 0 - 1 Fildişi Sahili							
🇩🇪 Almanya İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Joshua Kimmich	0	0	1 (37')	0	İlk 11	Maç Sonu	90 dk
Nico Schlotterbeck	0	0	1 (74')	0	İlk 11	Maç Sonu	90 dk
Marc-André ter Stegen (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Jonathan Tah	0	0	0	0	İlk 11	Maç Sonu	90 dk
Antonio Rüdiger	0	0	0	0	İlk 11	78'	78 dk
David Raum	0	0	0	0	İlk 11	Maç Sonu	90 dk
Aleksandar Pavlović	0	0	0	0	İlk 11	63'	63 dk
Leon Goretzka	0	0	0	0	İlk 11	Maç Sonu	90 dk
Florian Wirtz	0	0	0	0	İlk 11	71'	71 dk
Jamal Musiala	0	0	0	0	İlk 11	Maç Sonu	90 dk
Kai Havertz	0	0	0	0	İlk 11	71'	71 dk
Felix Nmecha	0	0	0	0	63'	Sonradan	27 dk
Leroy Sané	0	0	0	0	71'	Sonradan	19 dk
Deniz Undav	0	0	0	0	71'	Sonradan	19 dk
Waldemar Anton	0	0	0	0	78'	Sonradan	12 dk
🇨🇮 Fildişi Sahili İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Sébastien Haller	1 (53')	0	0	0	İlk 11	80'	80 dk
Simon Adingra	0	1	0	0	İlk 11	72'	72 dk
Evan Ndicka	0	0	1 (29')	0	İlk 11	Maç Sonu	90 dk
Ousmane Diomande	0	0	1 (68')	0	İlk 11	Maç Sonu	90 dk
Yahia Fofana (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Woly Boly	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ghislain Konan	0	0	0	0	İlk 11	Maç Sonu	90 dk
Seko Fofana	0	0	0	0	İlk 11	Maç Sonu	90 dk
Franck Kessié	0	0	0	0	İlk 11	Maç Sonu	90 dk
Ibrahim Sangaré	0	0	0	0	İlk 11	65'	65 dk
Oumar Diakité	0	0	0	0	İlk 11	65'	65 dk
Jean Michaël Seri	0	0	0	0	65'	Sonradan	25 dk
Jeremie Boga	0	0	0	0	65'	Sonradan	25 dk
Christian Kouamé	0	0	0	0	72'	Sonradan	18 dk
Jonathan Bamba	0	0	0	0	80'	Sonradan	10 dk
							
4. MAÇ: Ekvador 0 - 0 Curaçao							
🇪🇨 Ekvador İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Moises Caicedo	0	0	1 (44')	0	İlk 11	Maç Sonu	90 dk
Hernán Galíndez (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Félix Torres	0	0	0	0	İlk 11	Maç Sonu	90 dk
Willian Pacho	0	0	0	0	İlk 11	Maç Sonu	90 dk
Piero Hincapié	0	0	0	0	İlk 11	Maç Sonu	90 dk
Angelo Preciado	0	0	0	0	İlk 11	75'	75 dk
Pervis Estupiñán	0	0	0	0	İlk 11	Maç Sonu	90 dk
Alan Franco	0	0	0	0	İlk 11	61'	61 dk
Kendry Páez	0	0	0	0	İlk 11	61'	61 dk
Gonzalo Plata	0	0	0	0	İlk 11	Maç Sonu	90 dk
Enner Valencia	0	0	0	0	İlk 11	82'	82 dk
Carlos Gruezo	0	0	0	0	61'	Sonradan	29 dk
Jeremy Sarmiento	0	0	0	0	61'	Sonradan	29 dk
John Yeboah	0	0	0	0	75'	Sonradan	15 dk
Kevin Rodríguez	0	0	0	0	82'	Sonradan	8 dk
🇨🇼 Curaçao İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Riechedly Bazoer	0	0	1 (62')	0	İlk 11	Maç Sonu	90 dk
Eloy Room (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Sherel Floranus	0	0	0	0	İlk 11	Maç Sonu	90 dk
Armando Obispo	0	0	0	0	İlk 11	Maç Sonu	90 dk
Dylan Fonville	0	0	0	0	İlk 11	Maç Sonu	90 dk
Livano Comenencia	0	0	0	0	İlk 11	Maç Sonu	90 dk
Leandro Bacuna	0	0	0	0	İlk 11	Maç Sonu	90 dk
Juninho Bacuna	0	0	0	0	İlk 11	Maç Sonu	90 dk
Tahith Chong	0	0	0	0	İlk 11	79'	79 dk
Jürgen Locadia	0	0	0	0	İlk 11	68'	68 dk
Sontje Hensen	0	0	0	0	İlk 11	55'	55 dk
Jearl Margaritha	0	0	0	0	55'	Sonradan	35 dk
Jeremy Antonisse	0	0	0	0	68'	Sonradan	22 dk
Gervane Kastaneer	0	0	0	0	79'	Sonradan	11 dk
							
3. MAÇ: Hollanda 5 - 1 İsveç							
🇳🇱 Hollanda İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Cody Gakpo	2 (14', 55')	1	0	0	İlk 11	79'	79 dk
Brian Brobbey	1 (29')	1	0	0	İlk 11	68'	68 dk
Crysencio Summerville	1 (42')	0	0	0	İlk 11	Maç Sonu	90 dk
Tijjani Reijnders	1 (81')	0	0	0	İlk 11	Maç Sonu	90 dk
Ryan Gravenberch	0	2	0	0	İlk 11	75'	75 dk
Denzel Dumfries	0	1	1 (61')	0	İlk 11	Maç Sonu	90 dk
Bart Verbruggen (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Lutsharel Geertruida	0	0	0	0	İlk 11	Maç Sonu	90 dk
Virgil van Dijk	0	0	0	0	İlk 11	Maç Sonu	90 dk
Nathan Aké	0	0	0	0	İlk 11	83'	83 dk
Micky van de Ven	0	0	0	0	İlk 11	Maç Sonu	90 dk
Joshua Zirkzee	0	0	0	0	68'	Sonradan	22 dk
Joey Veerman	0	0	0	0	75'	Sonradan	15 dk
Jeremie Frimpong	0	0	0	0	79'	Sonradan	11 dk
Stefan de Vrij	0	0	0	0	83'	Sonradan	7 dk
🇸🇪 İsveç İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Alexander Isak	1 (60')	0	0	0	İlk 11	Maç Sonu	90 dk
Dejan Kulusevski	0	1	1 (34')	0	İlk 11	73'	73 dk
Isak Hien	0	0	1 (18')	0	İlk 11	Maç Sonu	90 dk
Robin Olsen (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Emil Holm	0	0	0	0	İlk 11	65'	65 dk
Victor Lindelöf	0	0	0	0	İlk 11	Maç Sonu	90 dk
Gabriel Gudmundsson	0	0	0	0	İlk 11	Maç Sonu	90 dk
Jens Cajuste	0	0	0	0	İlk 11	65'	65 dk
Yasin Ayari	0	0	0	0	İlk 11	Maç Sonu	90 dk
Viktor Gyökeres	0	0	0	0	İlk 11	Maç Sonu	90 dk
Anthony Elanga	0	0	0	0	İlk 11	65'	65 dk
Linus Wahlqvist	0	0	0	0	65'	Sonradan	25 dk
Mattias Svanberg	0	0	0	0	65'	Sonradan	25 dk
Lucas Bergvall	0	0	0	0	65'	Sonradan	25 dk
Hugo Larsson	0	0	0	0	73'	Sonradan	17 dk
							
4. MAÇ: Tunus 0 - 4 Japonya							
🇹🇳 Tunus İstatistikleri							
Oyuncu Adı	Gol	Asist	Sarı Kart	Kırmızı Kart	Giriş Dk	Çıkış Dk	Süre
Ellyes Skhiri	0	0	1 (51')	0	İlk 11	Maç Sonu	90 dk
Montassar Talbi	0	0	1 (73')	0	İlk 11	Maç Sonu	90 dk
Aymen Dahmen (GK)	0	0	0	0	İlk 11	Maç Sonu	90 dk
Yan Valery	0	0	0	0	İlk 11	Maç Sonu	90 dk
Yassine Meriah	0	0	0	0	İlk 11	78'	78 dk
Ali Abdi	0	0	0	0	İlk 11	Maç Sonu	90 dk
